inic_edo,nom_edo,Nombre,UltimoGradoEstudios,TipoLegislacion,tipoEleccion,FechaNacimiento,estado,entidad,Reeleccion,Partido,PreparacionAcademica,,,,
amrr_ciudad de mexico,anamariarodriguezruiz_ciudad de mexico,Ana Maria Rodriguez Ruiz,Preparatoria,Diputada Propietario,Mayoria Relativa,23/07/1962,Ciudad de Mexico,Distrito:18,SI,MORENA,,,,,
aplb_queretaro,anapaolalopezbirlain_queretaro,Ana Paola Lopez Birlain,Maestría,Diputada Propietario,Mayoria Relativa,21/09/1981,Queretaro,Distrito:5,SI,PAN,Ciencias políticas y sociales,,,,
appdlp_quintana roo,anapatriciaperaltadelapena_quintana roo,Ana Patricia Peralta De La Peña,Licenciatura,Diputada Propietario,Representacion proporcional,24/06/1990,Quintana Roo,Circunscripcion:3,NO,MORENA,Administración y contaduría,,,,
apgg_jalisco,anapriscilagonzalezgarcia_jalisco,Ana Priscila Gonzalez Garcia,Licenciatura,Diputada Propietario,Mayoria Relativa,13/05/1984,Jalisco,Distrito:20,SI,MC,,,,,
argg_baja california sur,anaruthgarciagrande_baja california sur,Ana Ruth Garcia Grande,Maestría,Diputada Propietario,Mayoria Relativa,30/05/1971,Baja California Sur,Distrito:1,SI,PT,Derecho,,,,
aiv_veracruz,aniluingramvallines_veracruz,Anilu Ingram Vallines,Maestría,Diputada Propietario,Representacion proporcional,26/08/1980,Veracruz,Circunscripcion:3,SI,PRI,,,,,
asc_michoacan,anitasanchezcastro_michoacan,Anita Sanchez Castro,Licenciatura,Diputada Propietario,Mayoria Relativa,07/01/1968,Michoacan,Distrito:6,SI,MORENA,Ciencias de la salud,,,,
asgc_nuevo leon,anniasarahigomezcardenas_nuevo leon,Annia Sarahi Gomez Cardenas,Licenciatura,Diputada Propietario,Mayoria Relativa,06/07/1983,Nuevo Leon,Distrito:6,SI,PAN,Ciencias políticas y sociales,,,,
andj_oaxaca,antonianatividaddiazjimenez_oaxaca,Antonia Natividad Diaz Jimenez,Licenciatura,Diputada Propietario,Representacion proporcional,13/06/1982,Oaxaca,Circunscripcion:3,NO,PAN,Administración y contaduría,,,,
aom_aguascalientes,antonioortegamartinez_aguascalientes,Antonio Ortega Martinez,Licenciatura,Diputado Propietario,Representacion proporcional,28/07/1954,Aguascalientes,Circunscripcion:2,NO,PRD,Ingeniería,,,,
aom_guerrero,araceliocampomanzanares_guerrero,Araceli Ocampo Manzanares,Licenciatura,Diputada Propietario,Mayoria Relativa,15/10/1972,Guerrero,Distrito:2,SI,MORENA,Derecho,,,,
arv_guanajuato,arielrodriguezvazquez_guanajuato,Ariel Rodriguez Vazquez,Doctorado,Diputado Propietario,Mayoria Relativa,01/11/1972,Guanajuato,Distrito:1,SI,MC,Psicología,,,,
acc_oaxaca,armandocontrerascastillo_oaxaca,Armando Contreras Castillo,Licenciatura,Diputado Propietario,Representacion proporcional,13/04/1966,Oaxaca,Circunscripcion:3,SI,MORENA,Económico-financiera,,,,
age_ciudad de mexico,armandogonzalezescoto_ciudad de mexico,Armando Gonzalez Escoto,Licenciatura,Diputado Propietario,Mayoria Relativa,27/08/1967,Ciudad de Mexico,Distrito:2,SI,PES,Ingeniería,,,,
ajzz_tamaulipas,armandojavierzertuchezuani_tamaulipas,Armando Javier Zertuche Zuani,Doctorado,Diputado Propietario,Mayoria Relativa,27/11/1957,Tamaulipas,Distrito:9,SI,PT,,,,,
arl_baja california,armandoreyesledesma_baja california,Armando Reyes Ledesma,Preparatoria,Diputado Propietario,Mayoria Relativa,10/04/1972,Baja California,Distrito:3,SI,PT,,,,,
atc_michoacan,armandotejedacid_michoacan,Armando Tejeda Cid,Maestría,Diputado Propietario,Mayoria Relativa,21/09/1984,Michoacan,Distrito:4,SI,PAN,Ciencias políticas y sociales,,,,
aeyv_ciudad de mexico,arturoescobaryvega_ciudad de mexico,Arturo Escobar y Vega,Maestría,Diputado Propietario,Representacion proporcional,23/04/1970,Ciudad de Mexico,Circunscripcion:4,SI,PVEM,Derecho,,,,
arht_mexico,arturorobertohernandeztapia_mexico,Arturo Roberto Hernandez Tapia,Maestría,Diputado Propietario,Mayoria Relativa,05/05/1961,Mexico,Distrito:35,SI,MORENA,Ciencias de la salud,,,,
asc_oaxaca,azaelsantiagochepi_oaxaca,Azael Santiago Chepi,Maestría,Diputado Propietario,Mayoria Relativa,15/12/1977,Oaxaca,Distrito:4,SI,MORENA,Ciencias de la educación,,,,
bdpl_oaxaca,beatrizdomingaperezlopez_oaxaca,Beatriz Dominga Perez Lopez,Licenciatura,Diputada Propietario,Mayoria Relativa,24/08/1975,Oaxaca,Distrito:6,SI,MORENA,Derecho,,,,
bmg_guanajuato,beatrizmanriqueguevara_guanajuato,Beatriz Manrique Guevara,Maestría,Diputada Propietario,Representacion proporcional,20/05/1967,Guanajuato,Circunscripcion:2,NO,PVEM,,,,,
brm_ciudad de mexico,beatrizrojasmartinez_ciudad de mexico,Beatriz Rojas Martinez,Licenciatura,Diputada Propietario,Mayoria Relativa,21/12/1966,Ciudad de Mexico,Distrito:7,SI,MORENA,Derecho,,,,
bsrg_queretaro,beatrizsilviaroblesgutierrez_queretaro,Beatriz Silvia Robles Gutierrez,Maestría,Diputada Propietario,Mayoria Relativa,24/03/1965,Queretaro,Distrito:3,SI,MORENA,Administración y contaduría,,,,
bmh_baja california,benitomedinaherrera_baja california,Benito Medina Herrera,Maestría,Diputado Propietario,Representacion proporcional,05/06/1950,Baja California,Circunscripcion:1,SI,PRI,Otra,,,,
brm_oaxaca,benjaminroblesmontoya_oaxaca,Benjamin Robles Montoya,Maestría,Diputado Propietario,Mayoria Relativa,08/11/1959,Oaxaca,Distrito:8,SI,PT,Ciencias políticas y sociales,,,,
