N°,Nombre,Grupo Parlamentario,Entidad federativa,Distrito / Circunscripción,Tipo de elección,Releccion 
216,Jose Rigoberto Mares Aguilar,PAN,Baja California Sur,1a Circunscripción,Representación proporcional,SI
217,Jose Salvador Rosas Quintanilla,PAN,Tamaulipas,Distrito 1,Mayoría relativa,SI
218,Juana Carrillo Luna,MORENA,México,5ª Circunscripción,Representación proporcional,SI
219,Juan Angel Bautista Bravo,MORENA,México,Distrito 31,Mayoría relativa,SI
220,Juan Carlos Romero Hicks,PAN,Guanajuato,Distrito 4,Mayoría relativa,SI
221,Juan Enrique Farrera Esponda,MORENA,Chiapas,Distrito 10,Mayoría relativa,SI
222,Juan Francisco Espinoza Eguia,PRI,Nuevo León,Distrito 9,Mayoría relativa,SI
223,Juan Francisco Ramirez Salcido,MC,Jalisco,Distrito 14,Mayoría relativa,SI
224,Juan Israel Ramos Ruiz,MORENA,Guanajuato,2ª Circunscripción,Representación proporcional,SI
225,Juanita Guerra Mena,MORENA,Morelos,Distrito 3,Mayoría relativa,SI
226,Juan Jose Canul Perez,PRI,Yucatán,Distrito 5,Mayoría relativa,SI
227,Juan Martin Espinoza Cardenas,MC,Jalisco,Distrito 17,Mayoría relativa,SI
228,Juan Martinez Flores,MORENA,Veracruz,Distrito 16,Mayoría relativa,SI
229,Juan Ortiz Guarneros,PRI,Veracruz,3ª Circunscripción,Representación proporcional,SI
230,Juan Pablo Sanchez Rodriguez,MORENA,México,Distrito 20,Mayoría relativa,SI
231,Julieta Garcia Zepeda,MORENA,Michoacán,5ª Circunscripción,Representación proporcional,SI
232,Julieta Kristal Vences Valencia,MORENA,Puebla,Distrito 8,Mayoría relativa,SI
233,Julio Carranza Areas,MORENA,Veracruz,3ª Circunscripción,Representación proporcional,SI
234,Julio Cesar Angeles Mendoza,MORENA,Hidalgo,Distrito 5,Mayoría relativa,SI
235,Justino Eugenio Arriaga Rojas,PAN,Guanajuato,Distrito 8,Mayoría relativa,SI
237,Karen Michel Gonzalez Marquez,PAN,Guanajuato,Distrito 7,Mayoría relativa,SI
238,Karla Yuritzi Almazan Burgos,MORENA,México,Distrito 38,Mayoría relativa,SI
239,Katia Alejandra Castillo Lozano,MORENA,Jalisco,1ª Circunscripción,Representación proporcional,SI
240,Kehila Abigail Ku Escalante,MC,Jalisco,Distrito 11,Mayoría relativa,SI
241,Laura Angelica Rojas Hernandez,PAN,México,Distrito 5,Mayoría relativa,SI
242,Laura Barrera Fortoul,PRI,México,5ª Circunscripción,Representación proporcional,SI
243,Laura Imelda Perez Segura,MORENA,Jalisco,Distrito 16,Mayoría relativa,SI
244,Laura Martinez Gonzalez,MORENA,Ciudad de México,4ª Circunscripción,Representación proporcional,SI
246,Lenin Nelson Campos Cordova,PRI,San Luis Potosí,2ª Circunscripción,Representación proporcional,SI
247,Leticia Arlett Aguilar Molina,MORENA,Chiapas,Distrito 9,Mayoría relativa,SI
248,Leticia Diaz Aguilar,MORENA,Ciudad de México,4ª Circunscripción,Representación proporcional,SI
