N°	Diputada / Diputado	Grupo Parlamentario	Entidad federativa	Distrito / Circunscripción	Tipo de elección	Fecha de recepción	En funciones	Carta
98	Dorheny García Cayetano	MORENA	Veracruz	3ª Circunscripción	Representación proporcional	17 de diciembre del 2020	En funciones	
99	Dulce Alejandra García Morlan	PAN	Oaxaca	3ª Circunscripción	Representación proporcional	17 de diciembre del 2020	En funciones	
100	Dulce María Corina Villegas Guarneros	MORENA	Veracruz	Distrito 15	Mayoría relativa	17 de diciembre del 2020	En funciones	
101	Dulce María Méndez De La Luz Dauzón	MC	Veracruz	3ª Circunscripción	Representación proporcional	16 de diciembre del 2020	En funciones	
102	Éctor Jaime Ramírez Barba	PAN	Guanajuato	Distrito 5	Mayoría relativa	16 de diciembre del 2020	En funciones	
103	Edelmiro Santiago Santos Díaz	MORENA	Nuevo León	2ª Circunscripción	Representación proporcional	17 de diciembre del 2020	En funciones	
104	Edgar Eduardo Arenas Madrigal	MORENA	México	Distrito 37	Mayoría relativa	17 de diciembre del 2020	En funciones	
105	Edgar Guzmán Valdéz	PES	Puebla	Distrito 7	Mayoría relativa	16 de diciembre del 2020	En funciones	
106	Ediltrudis Rodríguez Arellano	MORENA	Tabasco	3ª Circunscripción	Representación proporcional	17 de diciembre del 2020	En funciones	
107	Edith García Rosales	MORENA	Veracruz	3ª Circunscripción	Representación proporcional	17 de diciembre del 2020	En funciones	
108	Edith Marisol Mercado Torres	MORENA	México	5ª Circunscripción	Representación proporcional	17 de diciembre del 2020	En funciones	
109	Eduardo Zarzosa Sánchez	PRI	México	Distrito 9	Mayoría relativa	22 de diciembre del 2020	En funciones	
110	Efraín Rocha Vega	MORENA	Chihuahua	1ª Circunscripción	Representación proporcional	22 de diciembre del 2020	En funciones	
111	Elba Lorena Torres Díaz	PT	Aguascalientes	Distrito 2	Mayoría relativa	15 de diciembre del 2020	En funciones	
112	Eleuterio Arrieta Sánchez	MORENA	Veracruz	Distrito 13	Mayoría relativa	17 de diciembre del 2020	En funciones	
113	Emeteria Claudia Martínez Aguilar	MORENA	Chiapas	3ª Circunscripción	Representación proporcional	17 de diciembre del 2020	En funciones	
114	Emilio Manzanilla Téllez	PT	México	Distrito 16	Mayoría relativa	16 de diciembre del 2020	En funciones	
115	Emmanuel Reyes Carmona	MORENA	Guanajuato	Distrito 13	Mayoría relativa	22 de diciembre del 2020	En funciones	
116	Enrique Ochoa Reza	PRI	Michoacán	5ª Circunscripción	Representación proporcional	22 de diciembre del 2020	En funciones	
117	Eraclio Rodríguez Gómez	PT	Chihuahua	Distrito 7	Mayoría relativa	18 de diciembre del 2020	En funciones	
118	Erasmo González Robledo	MORENA	Tamaulipas	Distrito 7	Mayoría relativa	17 de diciembre del 2020	En funciones	
119	Erika Mariana Rosas Uribe	MORENA	Sinaloa	1ª Circunscripción	Representación proporcional	22 de diciembre del 2020	En funciones	
120	Erika Vanessa Del Castillo Ibarra	MORENA	Ciudad de México	Distrito 1	Mayoría relativa	17 de diciembre del 2020	En funciones	
121	Erik Isaac Morales Elvira	MORENA	Baja California	Distrito 7	Mayoría relativa	22 de diciembre del 2020	En funciones	
122	Ernesto Alfonso Robledo Leal	PAN	Nuevo León	Distrito 11	Mayoría relativa	22 de diciembre del 2020	En funciones	
