inic_edo,nom_edo,Nombre,tipo_elec,FechaNacimiento,edo,ent,Partido
err_jalisco,eduardoronramos_jalisco,Eduardo Ron Ramos,Mayoria Relativa,24/02/1975,Jalisco,Distrito:1,
ezs_mexico,eduardozarzosasanchez_mexico,Eduardo Zarzosa Sanchez,Mayoria Relativa,16/12/1973,Mexico,Distrito:9,
erv_chihuahua,efrainrochavega_chihuahua,Efrain Rocha Vega,Representacion proporcional,12/05/1955,Chihuahua,Circunscripcion:1,
eltd_aguascalientes,elbalorenatorresdiaz_aguascalientes,Elba Lorena Torres Diaz,Mayoria Relativa,15/03/1977,Aguascalientes,Distrito:2,
eas_veracruz,eleuterioarrietasanchez_veracruz,Eleuterio Arrieta Sanchez,Mayoria Relativa,02/05/1955,Veracruz,Distrito:13,
ecma_chiapas,emeteriaclaudiamartinezaguilar_chiapas,Emeteria Claudia Martinez Aguilar,Representacion proporcional,03/03/1985,Chiapas,Circunscripcion:3,
emt_mexico,emiliomanzanillatellez_mexico,Emilio Manzanilla Tellez,Mayoria Relativa,10/04/1971,Mexico,Distrito:16,
erc_guanajuato,emmanuelreyescarmona_guanajuato,Emmanuel Reyes Carmona,Mayoria Relativa,29/06/1987,Guanajuato,Distrito:13,
eor_michoacan,enriqueochoareza_michoacan,Enrique Ochoa Reza,Representacion proporcional,01/09/1972,Michoacan,Circunscripcion:5,
erg_chihuahua,eracliorodriguezgomez_chihuahua,Eraclio Rodriguez Gomez,Mayoria Relativa,04/01/1961,Chihuahua,Distrito:7,
egr_tamaulipas,erasmogonzalezrobledo_tamaulipas,Erasmo Gonzalez Robledo,Mayoria Relativa,28/06/1972,Tamaulipas,Distrito:7,
eime_baja california,erikisaacmoraleselvira_baja california,Erik Isaac Morales Elvira,Mayoria Relativa,01/09/1976,Baja California,Distrito:7,
emru_sinaloa,erikamarianarosasuribe_sinaloa,Erika Mariana Rosas Uribe,Representacion proporcional,09/01/1984,Sinaloa,Circunscripcion:1,
evdci_ciudad de mexico,erikavanessadelcastilloibarra_ciudad de mexico,Erika Vanessa Del Castillo Ibarra,Mayoria Relativa,10/06/1978,Ciudad de Mexico,Distrito:1,
earl_nuevo leon,ernestoalfonsorobledoleal_nuevo leon,Ernesto Alfonso Robledo Leal,Mayoria Relativa,06/06/1976,Nuevo Leon,Distrito:11,
egra_baja california,ernestoguillermoruffoappel_baja california,Ernesto Guillermo Ruffo Appel,Representacion proporcional,25/06/1952,Baja California,Circunscripcion:1,
ejna_mexico,ernestojaviernemeralvarez_mexico,Ernesto Javier Nemer Alvarez,Representacion proporcional,17/07/1961,Mexico,Circunscripcion:5,
evc_nuevo leon,ernestovargascontreras_nuevo leon,Ernesto Vargas Contreras,Mayoria Relativa,06/03/1977,Nuevo Leon,Distrito:8,
edlamm_mexico,esmeraldadelosangelesmorenomedina_mexico,Esmeralda de los Angeles Moreno Medina,Mayoria Relativa,19/12/1986,Mexico,Distrito:26,
ebb_michoacan,estebanbarajasbarajas_michoacan,Esteban Barajas Barajas,Mayoria Relativa,20/01/1959,Michoacan,Distrito:2,
ena_tabasco,estelanunezalvarez_tabasco,Estela Nuñez Alvarez,Mayoria Relativa,16/08/1956,Tabasco,Distrito:1,
ejrf_veracruz,eulaliojuanriosfararoni_veracruz,Eulalio Juan Rios Fararoni,Mayoria Relativa,18/04/1965,Veracruz,Distrito:20,
elpr_coahuila,evaristoleninperezrivera_coahuila,Evaristo Lenin Perez Rivera,Mayoria Relativa,28/10/1966,Coahuila,Distrito:1,
frglh_jalisco,fabiolaraquelguadalupeloyahernandez_jalisco,Fabiola Raquel Guadalupe Loya Hernandez,Mayoria Relativa,05/11/1974,Jalisco,Distrito:6,
ffa_michoacan,felicianofloresanguiano_michoacan,Feliciano Flores Anguiano,Mayoria Relativa,28/05/1971,Michoacan,Distrito:1,
ffmo_queretaro,felipefernandomaciasolvera_queretaro,Felipe Fernando Macias Olvera,Mayoria Relativa,04/04/1986,Queretaro,Distrito:4,
fradll_mexico,feliperafaelarvizudelaluz_mexico,Felipe Rafael Arvizu De la Luz,Mayoria Relativa,09/09/1974,Mexico,Distrito:12,
fddlfh_coahuila,fernandodonatodelasfuenteshernandez_coahuila,Fernando Donato De las Fuentes Hernandez,Mayoria Relativa,07/08/1960,Coahuila,Distrito:7,
fgf_ciudad de mexico,fernandogalindofavela_ciudad de mexico,Fernando Galindo Favela,Representacion proporcional,06/05/1978,Ciudad de Mexico,Circunscripcion:4,
flmp_puebla,fernandoluismanzanillaprieto_puebla,Fernando Luis Manzanilla Prieto,Mayoria Relativa,10/05/1968,Puebla,Distrito:12,
ftg_guanajuato,fernandotorresgraciano_guanajuato,Fernando Torres Graciano,Representacion proporcional,27/08/1970,Guanajuato,Circunscripcion:2,
fimm_ciudad de mexico,florivonemoralesmiranda_ciudad de mexico,Flor Ivone Morales Miranda,Mayoria Relativa,05/10/1968,Ciudad de Mexico,Distrito:21,
ftcs_veracruz,florataniacruzsantos_veracruz,Flora Tania Cruz Santos,Mayoria Relativa,27/01/1978,Veracruz,Distrito:11,
frc_hidalgo,fortunatoriveracastillo_hidalgo,Fortunato Rivera Castillo,Mayoria Relativa,17/11/1955,Hidalgo,Distrito:1,
feg_nuevo leon,franciscoelizondogarrido_nuevo leon,Francisco Elizondo Garrido,Representacion proporcional,17/01/1982,Nuevo Leon,Circunscripcion:2,
ffp_mexico,franciscofavelapenunuri_mexico,Francisco Favela Peñuñuri,Mayoria Relativa,15/04/1955,Mexico,Distrito:5,
fjba_coahuila,franciscojavierborregoadame_coahuila,Francisco Javier Borrego Adame,Mayoria Relativa,27/12/1954,Coahuila,Distrito:2,
fjgdlt_jalisco,franciscojavierguzmandelatorre_jalisco,Francisco Javier Guzman De la Torre,Representacion proporcional,29/08/1944,Jalisco,Circunscripcion:1,
fjhe_michoacan,franciscojavierhuacusesquivel_michoacan,Francisco Javier Huacus Esquivel,Mayoria Relativa,26/08/1986,Michoacan,Distrito:12,
fjln_aguascalientes,franciscojavierluevanonunez_aguascalientes,Francisco Javier Luevano Nuñez,Mayoria Relativa,01/07/1979,Aguascalientes,Distrito:1,
fjrn_mexico,franciscojavierramireznavarrete_mexico,Francisco Javier Ramirez Navarrete,Representacion proporcional,03/01/1988,Mexico,Circunscripcion:5,
fjsc_ciudad de mexico,franciscojaviersaldivarcamacho_ciudad de mexico,Francisco Javier Saldivar Camacho,Mayoria Relativa,12/03/1967,Ciudad de Mexico,Distrito:17,
